# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.117        0.000     1747.840     3256.648
       0.238        3.125     1748.340     3257.156
       0.378       22.392     1758.414     3267.176
       0.520       25.000     1767.137     3276.098
       0.660       36.725     1771.234     3279.168
       0.803       26.042     1774.555     3283.324
       0.948       26.783     1778.820     3286.781
       1.104       27.250     1780.676     3288.770
       1.258       30.475     1791.156     3296.438
       1.401       19.533     1799.852     3304.812
       1.545        7.392     1796.828     3301.762
       1.690        0.000     1728.754     3164.047
