# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.114        0.000       86.184      147.074
       0.233        2.767       86.191      147.074
       0.389        5.333       86.527      147.203
       0.547        4.975       86.527      147.203
       0.717        5.300       86.699      147.270
       0.873        6.675       87.680      148.207
       1.043       24.183       98.883      154.676
       1.180       15.767      129.707      485.633
       1.320       14.883      138.305      487.617
       1.461       12.925      152.805      496.137
       1.615       19.200      170.543      504.348
       1.756       25.000      185.031      507.773
       1.897       13.358      204.484      515.270
       2.053       19.908      216.555      513.590
       2.208       13.017      220.320      516.324
       2.351        6.058      220.320      516.324
       2.523        9.083      220.855      516.949
       2.693        4.542      220.855      516.949
       2.864        9.842      221.344      517.211
       3.036       13.633      224.352      520.125
       3.208       17.408      227.426      523.074
       3.379       19.533      235.426      531.074
       3.521       29.550      267.887      554.258
       3.663       30.692      297.227      582.598
       3.805       27.700      300.020      583.992
       3.946       22.533      308.879      649.887
       4.091       17.425      318.648      651.516
       4.247       17.675      321.715      654.523
       4.390       21.242      317.223      650.504
       4.531       11.683      320.770      653.871
       4.689       18.367      322.266      655.605
       4.845       21.242      332.953      656.250
       4.986       13.850      334.582      657.820
       5.129       16.692      337.043      660.199
       5.271       23.250      338.398      661.449
       5.427       24.008      358.258      687.387
       5.567       17.542      360.754      690.398
       5.708       39.058      367.434      697.504
       5.849       26.783      368.105      698.238
       5.991       34.167      379.812      710.355
       6.131       27.900      402.828      702.672
       6.276       35.892      377.656      663.039
       6.432       18.925      380.977      666.113
       6.587       35.417      401.535      686.273
       6.729       35.092      414.383      697.152
       6.871       32.325      412.055      695.375
       7.011       36.275      430.703      713.656
       7.151       41.558      438.441      701.453
       7.292       36.725      448.254      711.621
       7.435       35.092      455.926      720.574
       7.575       28.125      447.000      710.762
       7.718       30.283      456.004      719.156
       7.877       33.383      457.719      721.129
       8.032       29.758      456.914      719.836
       8.175       38.150      471.023      734.484
       8.331       37.200      468.016      731.547
       8.471       31.400      468.770      731.719
       8.613       34.167      472.785      731.965
       8.752       30.050      501.004      732.793
       8.914       23.733      501.559      733.418
       9.108       36.017      503.629      735.012
       9.250       60.158      505.152      735.277
       9.423       47.100      506.426      834.871
       9.562       36.942      507.352      835.547
       9.703       24.183      513.234      841.453
       9.843       14.775      497.715      826.945
       9.987        0.000      497.715      826.945
      10.159        2.275      432.375      690.500
