# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.109        0.000      479.086      804.211
       0.233        3.025      479.082      804.211
       0.403        6.058      479.465      804.340
       0.574        2.500      479.465      804.340
       0.745        4.542      479.641      804.410
       0.915       11.617      481.801      807.301
       1.074       47.342      493.996      816.695
       1.248       45.258      535.840     1157.848
       1.397       17.408      544.855     1159.105
       1.555        8.367      554.566     1164.062
       1.697       24.933      572.828     1172.066
       1.839       29.758      590.289     1179.605
       1.980       12.008      602.016     1182.250
       2.138       15.933      634.137     1255.176
       2.311       11.542      625.797     1251.082
       2.515       11.142      628.039     1252.414
       2.713        3.342      628.039     1252.414
       2.853        5.300      628.582     1252.977
       3.024        7.392      629.027     1253.238
       3.167       16.017      632.723     1257.191
       3.365       19.392      637.074     1261.699
       3.506       14.775      642.789     1267.113
       3.644       28.833      660.348     1275.805
       3.786       26.783      685.184     1300.883
       3.925       30.475      692.602     1307.785
       4.067       23.367      700.406     1298.535
       4.208       16.667      703.992     1302.246
       4.349       17.525      710.492     1308.902
       4.494       21.233      705.953     1304.562
       4.636       25.033      707.125     1305.918
       4.793        8.350      709.207     1307.398
       4.953       15.858      710.672     1308.465
       5.107       21.242      715.355     1312.996
       5.251       21.242      716.824     1314.441
       5.395       19.533      737.129     1338.910
       5.535       23.083      738.902     1340.668
       5.677       28.625      747.914     1351.148
       5.817       25.108      748.398     1351.574
       5.958       34.167      775.000     1361.184
       6.099       22.283      800.191     1355.410
       6.288       31.858      774.488     1321.328
       6.475       21.400      770.098     1315.699
       6.697       30.050      784.293     1330.879
       6.849       33.483      797.277     1344.031
       6.993       35.667      805.180     1352.344
       7.132       39.992      832.801     1380.074
       7.274       33.242      858.535     1403.930
       7.415       33.242      860.016     1388.016
       7.555       35.342      866.090     1394.660
       7.697       35.092      869.684     1398.535
       7.838       32.550      872.816     1401.562
       7.981       36.017      881.910     1410.473
       8.120       34.167      874.867     1404.887
       8.262       39.233      888.531     1420.988
       8.420       33.383      886.629     1416.594
       8.577       35.892      882.121     1411.500
       8.733       35.658      885.672     1414.176
       8.887       40.925      909.676     1407.230
       9.031       36.492      915.898     1412.734
       9.187       36.275      920.852     1417.598
       9.325       36.942      922.879     1417.852
       9.470       68.825      931.887     1417.852
       9.610       36.942      929.715     1523.371
       9.751       13.858      935.098     1529.324
       9.892        8.367      935.551     1529.785
      10.035        3.033      934.492     1528.953
      10.208        1.383      868.195     1390.246
