# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.121        0.000     1777.262     3283.938
       0.243        7.392     1779.168     3286.270
       0.387       39.058     1814.512     3621.930
       0.527       17.542     1828.363     3624.566
       0.670       16.692     1849.113     3635.684
       0.825       23.225     1876.242     3652.121
       0.983       20.033     1894.340     3652.930
       1.125       17.675     1909.934     3653.148
       1.269        3.692     1912.582     3654.969
       1.412       10.158     1914.469     3657.027
       1.553       22.325     1922.254     3664.266
       1.697       22.167     1951.246     3683.148
       1.838       30.475     1987.582     3719.957
       1.981       24.208     1990.340     3780.688
       2.138       22.325     2003.965     3783.727
       2.281       16.583     2011.613     3790.492
       2.425       16.742     2023.473     3792.426
       2.565       18.467     2026.773     3795.887
       2.708       15.700     2031.770     3800.996
       2.851       31.625     2052.680     3827.664
       2.994       30.050     2061.336     3837.938
       3.154       27.367     2068.285     3844.789
       3.298       35.342     2097.371     3844.066
       3.441       36.942     2118.266     3845.145
       3.583       36.942     2123.797     3850.523
       3.739       34.225     2124.891     3851.652
       3.883       34.408     2134.070     3861.930
       4.025       37.858     2172.758     3882.891
       4.168       35.092     2161.707     3871.488
       4.311       29.758     2170.875     3880.270
       4.454       34.000     2175.809     3885.078
       4.596       38.133     2181.484     3892.070
       4.740       36.017     2166.980     3878.121
       4.898       32.033     2174.281     3883.996
       5.071       29.550     2177.383     3887.039
       5.214       35.058     2210.809     3888.508
       5.358       35.092     2212.855     3890.305
       5.502       34.225     2167.523     3848.551
       5.661       52.642     2160.730     3924.875
       5.801       18.608     2164.922     3928.559
       5.944        0.925     2164.758     3928.480
       6.101        0.000     2164.758     3928.480
       6.244        0.000     2164.758     3928.480
