# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.110        0.000      554.004     1585.984
       0.228       25.000      571.508     1590.277
       0.355       13.542      582.965     1591.047
       0.496       12.517      593.773     1592.367
       0.638       21.242      601.008     1596.203
       0.779       23.250      612.543     1599.949
       0.907       27.083      623.035     1605.344
       1.046       35.092      650.477     1622.984
       1.188       25.858      672.078     1634.879
       1.327       24.183      690.434     1640.984
       1.468       26.783      709.598     1637.059
       1.607       17.675      713.516     1641.043
       1.748       18.467      714.418     1641.812
       1.888       26.783      718.734     1643.727
       2.014       21.875      722.203     1646.789
       2.140       17.708      723.461     1648.191
       2.281       13.025      718.191     1645.012
       2.423       11.083      719.680     1646.453
       2.559        5.542      719.910     1646.520
       2.703       11.683      721.188     1646.902
       2.843       16.667      721.391     1646.965
       2.983       13.950      721.719     1647.227
       3.108       22.917      725.676     1650.855
       3.235       32.292      732.293     1657.035
       3.361       21.875      726.770     1652.270
       3.502       17.542      730.426     1655.613
       3.641       23.083      734.441     1659.852
       3.780       28.833      754.699     1532.438
       3.922        8.308      755.051     1532.621
       4.060        2.767      755.062     1532.629
       4.203        3.342      481.598      740.621
