# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.123       33.350     1559.621     2621.730
       0.316       30.475     1554.785     2617.082
       0.500       34.117     1559.945     2621.750
       0.688       18.008     1594.770     3460.715
       0.860       36.200     1615.004     3470.746
       1.054       24.225     1616.207     3461.605
       1.239       19.617     1632.930     3466.262
       1.459        8.983     1588.219     3427.496
       1.662        8.308     1590.938     3428.512
       1.851        8.983     1593.141     3428.516
       2.058        7.133     1595.250     3428.516
       2.261       13.708     1612.629     3440.430
       2.434       10.208     1616.430     3441.406
       2.637        9.050     1619.523     3441.949
       2.826       12.108     1622.605     3442.211
       2.998       11.142     1624.480     3441.418
       3.188        9.842     1628.527     3442.273
       3.363        9.700     1635.656     3444.125
       3.538       12.533     1664.445     3468.949
       3.724       24.242     1706.203     3482.305
       3.912       39.692     1725.980     3499.984
       4.102       36.708     1747.062     3522.238
       4.285       34.817     1771.930     3546.195
       4.490       32.108     1779.051     3538.309
       4.704       37.458     1839.820     3539.641
       4.909       36.900     1839.762     3538.773
       5.112       36.708     1842.023     3540.723
       5.297       40.108     1890.707     3670.598
       5.540       31.767     1892.684     3671.938
       5.786       41.692     1920.270     3633.707
       6.005       37.458     1935.723     3649.105
       6.223       37.842     1941.133     3653.965
       6.428       37.842     1945.012     3658.309
       6.625       34.117     1946.453     3659.105
       6.814       33.825     1961.125     3673.910
       7.015       32.075     2003.383     3668.414
       7.215       38.300     2041.746     3676.422
       7.402       45.017     2098.645     4053.734
       7.592       37.200     2091.707     4045.527
       7.794       33.350     2099.531     4053.211
       8.003       35.275     2096.375     4051.668
       8.208       40.408     2099.105     4052.500
       8.410       40.408     2101.055     4054.406
       8.614       37.458     2098.273     4053.312
       8.835       35.058     2104.734     4058.797
       9.062       36.383     2101.512     4055.309
       9.264       37.200     2106.199     4060.035
       9.467       33.425     2099.961     4054.914
       9.654       35.917     2102.281     4056.906
       9.860       32.708     2105.559     4059.402
      10.070       33.192     2118.852     4072.617
      10.264       33.992     2118.988     4073.000
      10.466       34.633     2114.348     4069.625
      10.669       35.275     2125.297     4081.023
      10.880       35.933     2132.113     4088.160
      11.132       34.483     2131.160     4087.277
      11.329       36.558     2163.191     4089.211
      11.549       33.292     2155.801     4079.504
      11.767       33.350     2161.488     4084.949
      11.974       33.992     2153.766     4077.266
      12.168       33.350     2161.844     4086.480
      12.375       32.700     2159.672     4083.008
      12.598       33.333     2162.602     4085.152
      12.854       32.850     2166.445     4089.008
      13.072       33.825     2158.957     4082.359
      13.255       33.425     2154.426     4076.918
      13.446       33.992     2155.574     4077.941
      13.649       33.350     2160.320     4082.727
      13.866       33.992     2163.859     4086.262
      14.071       33.192     2151.789     4075.988
      14.266       36.558     2156.773     4080.766
      14.470       33.992     2160.562     4084.094
      14.680       33.292     2161.336     4084.863
      14.882       34.117     2172.105     4081.426
      15.073       33.242     2192.539     4080.203
      15.249       33.425     2208.582     4080.594
      15.439       33.933     2226.957     4078.258
      15.644       32.850     2249.641     4078.688
      15.870       31.400     2238.844     4046.332
      16.131       33.350     2269.887     4051.410
      16.338       34.117     2286.008     4047.266
      16.525       35.917     2298.039     4043.637
      16.745       33.350     2323.848     4051.293
      16.932       45.783     2389.156     4565.555
      17.152       35.275     2389.973     4566.277
      17.356       33.350     2377.816     4553.770
      17.560       33.892     2387.129     4563.770
      17.780       34.633     2389.203     4566.016
      17.971       33.933     2384.957     4561.242
      18.171       33.350     2395.262     4571.629
      18.378       33.292     2393.746     4570.172
      18.602       32.275     2394.648     4571.062
      18.817       34.633     2396.750     4572.598
      19.025       33.350     2404.273     4579.754
      19.232       26.317     2384.207     4559.781
      19.431       23.733     2389.133     4565.320
      19.638       24.375     2390.699     4567.086
      19.843       16.675     2391.676     4568.059
      20.045       15.392     2392.234     4568.316
      20.236       27.900     2400.883     4576.488
      20.502       16.675     2398.719     4574.312
      20.719       28.500     2401.277     4576.836
      21.011       41.000     2406.008     4534.723
      21.204       21.167     2407.102     4542.750
      21.428       31.250     2421.566     4555.691
      21.670       32.700     2415.328     4546.828
      21.893       34.042     2432.574     4562.215
      22.099       33.242     2446.098     4575.746
      22.288       16.708     2420.262     4550.223
      22.493       26.758     2427.938     4557.598
      22.708       25.567     2433.922     4562.574
      22.930       17.833     2437.781     4567.512
      23.133       18.600     2439.266     4568.934
      23.337       18.925     2441.801     4571.496
      23.528       20.908     2444.020     4573.695
      23.740       24.375     2444.754     4574.152
      23.947        0.692     2444.684     4574.008
      24.132        5.333     2444.688     4574.008
      24.308        0.692     2444.691     4574.008
      24.496        2.092     2444.691     4574.008
      24.683        0.000     2445.223     4574.574
      24.857        0.692     2445.223     4574.574
      25.032        1.517     2445.227     4574.578
      25.222        1.517     2445.227     4574.578
      25.395        0.000     2445.234     4574.578
      25.585        0.000     2445.238     4574.578
      25.762        0.700     2445.238     4574.578
      25.946        0.000     2445.238     4574.578
      26.119        2.275     2418.262     4546.668
      26.295        2.275     2383.113     4522.793
      26.469        1.392     2383.527     4523.188
      26.644        0.000     2383.527     4523.188
      26.831        0.758     2383.527     4523.188
      27.003        0.758     2383.531     4523.188
      27.190        0.692     2383.539     4523.188
      27.362        0.700     2383.539     4523.188
      27.550        1.517     2383.539     4523.188
      27.722        1.517     2383.539     4523.188
      27.911        0.758     2383.867     4523.527
      28.082        1.383     2383.867     4523.527
      28.253        0.000     2383.867     4523.527
      28.426        1.392     2383.867     4523.527
