# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.122        0.000     1100.793     2182.262
       0.282        9.133     1104.645     2186.367
       0.463       35.317     1122.531     2208.750
       0.644       31.042     1134.055     2218.699
       0.815       33.308     1134.395     2218.910
       0.994       32.725     1140.027     2224.469
       1.174       34.625     1150.211     2234.641
       1.349       41.642     1155.504     2239.906
       1.521       37.558     1143.535     2228.562
       1.694       24.983     1148.750     2233.422
       1.867       12.108     1146.852     2233.184
       2.026       11.683     1147.117     2233.395
       2.197        6.058     1147.117     2233.395
       2.358        6.817     1147.121     2233.395
       2.515        8.375     1145.730     2230.871
       2.673        0.000     1145.730     2230.871
       2.831        0.000     1145.730     2230.871
       2.987        0.000     1146.234     2230.871
