# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.009        0.000      199.980      899.438
       0.132       35.508      214.656      903.836
       0.259       36.458      242.422      909.285
       0.386       32.550      246.199      913.211
       0.511       37.500      241.324      908.453
       0.635       31.250      245.617      911.562
       0.762       31.250      248.246      914.137
       0.888       29.167      251.602      914.938
       1.013       34.375      252.305      915.469
       1.136       31.250      253.945      917.906
       1.261       32.292      254.676      919.141
       1.388       33.333      287.762      920.785
       1.513       13.542      305.988      807.516
       1.639       22.917      288.242      796.379
       1.766       29.167      290.832      798.855
       1.892       29.167      293.219      801.500
       2.017       28.125      298.340      806.785
       2.142       28.125      287.703      796.762
       2.267       17.708      290.680      799.781
       2.394       13.542      293.543      847.410
       2.522        8.333      293.633      847.492
       2.647       10.417      293.836      847.680
       2.772        8.333      293.836      847.680
       2.894        6.250      294.840      848.582
       3.020        8.333      297.516      851.371
       3.133       34.325      299.590      852.832
       3.258       31.625      306.648      859.773
       3.385       34.375      303.148      856.918
       3.508       37.875      282.719      838.246
       3.631       33.333      304.656      838.004
       3.754       31.250      316.305      850.301
       3.880       31.250      324.211      859.402
       4.002       31.250      315.176      849.742
       4.130       33.333      319.711      852.973
       4.251       26.042      317.605      851.957
       4.378       20.833      321.383      855.754
       4.502       30.208      321.543      852.629
       4.630       37.500      331.746      853.484
       4.753       50.000      409.203     1026.273
       4.880       40.625      413.527     1030.281
       5.008       39.583      407.438     1025.000
       5.134       39.583      408.016     1024.434
       5.261       36.275      404.938     1022.215
       5.387       36.458      402.277     1018.711
       5.511       37.500      407.551     1024.879
       5.636       36.458      406.457     1023.371
       5.763       34.375      407.828     1024.605
       5.891       36.458      407.387     1025.262
       6.013       36.458      417.906     1036.555
       6.139       35.417      406.648     1023.133
       6.264       34.375      410.637     1026.848
       6.390       41.667      436.242     1021.504
       6.516       36.458      440.496     1025.363
       6.644       35.092      447.660     1032.699
       6.784       34.375      440.984     1026.613
       6.913       34.408      442.336     1027.254
       7.050       32.292      434.645     1019.629
       7.191       36.942      438.836     1023.477
       7.326       34.167      434.621     1018.836
       7.450       36.458      441.883     1026.160
       7.574       34.375      445.535     1029.996
       7.698       32.292      448.574     1033.012
       7.827       37.500      440.957     1026.355
       7.971       34.408      435.684     1019.879
       8.096       31.250      458.887     1031.070
       8.237       33.242      470.957     1033.312
       8.361       33.333      485.410     1035.684
       8.493       40.625      524.668     1160.473
       8.617       34.167      520.082     1155.840
       8.741       33.450      525.383     1161.730
       8.867       35.417      521.145     1157.312
       8.993       35.092      529.359     1165.430
       9.120       33.333      520.859     1157.887
       9.251       30.208      527.047     1163.121
       9.372       27.083      519.000     1154.465
       9.497       34.375      524.184     1159.711
       9.622       23.958      525.344     1161.266
       9.748       20.833      526.277     1162.203
       9.873       16.667      526.730     1162.492
       9.983       21.500      526.805     1162.492
      10.107       17.708      526.980     1162.863
      10.217       17.917      526.988     1162.863
      10.328       17.758      526.988     1162.863
      10.453       17.708      526.988     1162.863
      10.579       16.667      526.988     1162.863
      10.705       16.667      526.992     1162.863
      10.825       18.750      527.152     1162.879
      10.951       16.667      529.660     1165.883
      11.074       16.667      528.750     1164.730
      11.201       18.750      527.566     1165.777
