# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.117        5.208      144.391      652.871
       0.245       16.625      176.559      681.383
       0.373       21.875      214.742      713.164
       0.537       26.500      236.035      727.707
       0.670       34.417      257.195      735.184
       0.827       38.783      257.438      735.242
       0.970       42.567      283.441      759.648
       1.145       68.567      320.797      795.238
       1.312       76.142      329.770      784.441
       1.481       30.475      354.801      803.641
       1.624       36.017      360.117      806.492
       1.770       50.083      388.359      829.039
       1.938       72.533      465.820      849.453
       2.137       75.117      515.402      955.047
       2.289       51.750      542.449      964.172
       2.452       37.558      546.348      965.059
       2.606       58.175      554.594      956.727
       2.802       87.733      573.207      962.391
       2.995       92.808      609.062      967.125
       3.276       79.375      603.180      958.328
       3.454       81.458      600.023      945.980
       3.663       66.667      587.336      931.742
       3.789       16.667      587.828      932.230
       3.914       14.583      616.176     1015.969
       4.040       22.167      626.457     1020.266
       4.181       15.025      639.227     1025.629
       4.324       20.033      650.117     1033.828
       4.497       36.708      672.656     1056.301
       4.690       37.308      686.766     1068.383
       4.856       36.333      694.770     1076.363
       5.029       11.617      599.398      937.316
       5.185       10.850      645.008     1541.738
       5.323       30.692      714.547     1574.012
       5.482       34.833      742.770     1598.879
       5.645       26.708      785.270     1600.711
       5.798       14.192      875.562     1601.105
       5.942       15.700      971.398     1799.336
       6.081        9.300     1065.902     1838.820
       6.225       11.083      941.898     1723.898
       6.384        5.542      586.547      930.574
       6.507        8.333      586.547      930.574
       6.633       14.583      591.883      936.520
       6.761       11.158      616.305     1765.750
       6.900       15.758      634.227     1773.367
       7.056       20.867      649.301     1778.184
       7.200       15.808      664.184     1781.414
       7.342       17.542      682.719     1792.402
       7.497       13.358      686.254     1793.492
       7.641       10.158      688.957     1793.922
       7.794       10.158      691.477     1794.172
       7.933        8.367      693.992     1794.109
       8.072        8.308      696.332     1794.109
       8.216        8.350      698.906     1794.109
       8.376        9.183      704.074     1795.250
       8.534       12.442      735.812     1822.418
       8.690       22.083      751.715     1824.422
       8.847       37.325      785.078     1844.305
       9.003       36.725      792.824     1850.879
       9.173       34.225      797.258     1856.703
       9.330       35.583      813.059     1852.855
       9.487       39.233      881.406     1987.559
       9.659       35.583      880.098     1982.117
       9.820       35.892      886.066     1988.074
       9.980       34.825      893.680     1995.531
      10.136       39.708      938.336     1994.355
      10.289       33.383      942.453     1998.305
      10.447       33.308      952.863     2009.359
      10.626       46.933     1024.188     2013.789
      10.779       36.725     1016.898     2006.648
      10.944       34.225     1019.793     2008.711
      11.111       38.608     1022.281     2010.777
      11.264       36.942     1017.691     2007.914
      11.422       33.308     1022.746     2012.098
      11.578       32.550     1064.395     2013.359
      11.733       36.333     1087.199     2011.621
      11.914       43.150     1104.586     2351.777
      12.061       28.625     1122.043     2354.645
      12.221       37.092     1128.195     2360.566
      12.377       31.717     1131.648     2363.734
      12.531       40.633     1135.914     2368.000
      12.688       38.833     1144.461     2376.691
      12.840       36.942     1134.059     2366.465
      13.002       37.850     1155.543     2388.301
      13.171       36.333     1163.812     2397.125
      13.340       35.583     1155.090     2387.668
      13.512       35.583     1163.270     2395.754
      13.667       36.275     1168.512     2400.602
      13.828       35.058     1159.227     2392.234
      13.979       37.325     1165.398     2397.801
      14.136       36.725     1166.938     2399.141
      14.288       35.058     1166.898     2399.113
      14.447       33.383     1170.777     2402.980
      14.609       36.333     1172.512     2404.566
      14.781       34.825     1182.977     2416.602
      14.940       32.550     1183.129     2416.266
      15.095       35.658     1179.285     2412.148
      15.251       34.408     1182.758     2416.402
      15.409       34.067     1189.828     2423.504
      15.563       45.425     1222.703     2428.613
      15.738       33.383     1219.340     2420.516
      15.893       33.175     1210.629     2413.375
      16.051       35.892     1216.270     2417.926
      16.211       35.058     1215.793     2417.359
      16.372       33.308     1214.371     2415.984
      16.537       33.383     1214.465     2415.590
      16.695       34.225     1231.695     2432.488
      16.851       34.000     1231.277     2432.875
      17.004       32.550     1191.785     2393.727
      17.148       34.833     1209.246     2414.160
      17.305       33.383     1214.770     2417.719
      17.463       35.058     1218.992     2422.105
      17.619       33.383     1202.199     2404.621
      17.778       34.825     1210.840     2413.359
      17.947       34.067     1204.000     2405.367
      18.120       33.383     1215.559     2417.426
      18.283       33.175     1220.891     2422.586
      18.433       33.383     1222.406     2423.902
      18.591       33.383     1226.871     2428.859
      18.748       32.550     1212.188     2416.016
      18.920       34.067     1231.066     2430.012
      19.077       33.383     1246.410     2430.332
      19.235       34.225     1252.043     2420.609
      19.390       32.342     1278.789     2424.348
      19.548       33.483     1303.664     2425.059
      19.701       33.383     1328.996     2426.820
      19.856       34.833     1346.578     2429.641
      20.011       32.550     1363.742     2432.211
      20.152       37.858     1356.539     2412.875
      20.309       35.892     1379.488     2421.934
      20.466       34.067     1407.117     2428.113
      20.625       43.400     1465.145     2417.922
      20.797       37.850     1473.332     2928.578
      20.955       33.383     1465.293     2919.984
      21.127       32.550     1473.234     2927.973
      21.286       36.725     1461.941     2916.445
      21.443       33.383     1470.312     2924.727
      21.598       33.175     1479.688     2933.855
      21.754       33.383     1484.445     2938.617
      21.912       34.225     1474.371     2932.004
      22.068       33.383     1435.570     2889.984
      22.226       33.175     1459.180     2915.922
      22.385       34.067     1471.348     2928.543
      22.555       31.717     1452.617     2907.473
      22.698       30.692     1465.105     2919.863
      22.840       19.392     1471.293     2926.020
      22.983       22.167     1474.164     2928.957
      23.143       30.283     1479.727     2934.453
      23.295       35.342     1477.840     2932.812
      23.453       28.767     1479.613     2934.562
      23.611       30.050     1481.359     2936.789
      23.771       24.883     1460.465     2907.816
      23.928       25.875     1467.414     2914.984
      24.097       49.208     1511.688     2912.984
      24.254       28.375     1496.113     2896.891
      24.409       30.883     1508.438     2909.488
      24.566       34.225     1508.027     2909.281
      24.738       15.758     1493.539     2893.699
      24.892       15.858     1498.430     2898.641
      25.050       24.208     1506.297     2906.387
      25.207       18.367     1507.922     2908.004
      25.373       22.708     1514.414     2915.008
      25.538       16.583     1514.504     2915.137
      25.677       24.208     1517.562     2917.910
      25.834       20.458     1518.016     2918.301
      25.979       34.000     1519.922     2920.180
      26.133       25.108     1520.688     2920.547
      26.272        3.317     1520.613     2920.465
      26.426        0.000     1520.613     2920.465
      26.567        0.925     1520.617     2920.465
      26.710        2.792     1520.621     2920.465
      26.855        2.492     1520.633     2920.465
      27.007        0.000     1520.641     2920.465
      27.147        2.767     1460.715     2876.086
      27.286        1.850     1463.031     2878.500
      27.428        3.717     1463.035     2878.500
      27.572        1.667     1463.121     2878.500
