# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.116        3.783     2572.156     5150.105
       0.281       13.158     2589.488     5166.164
       0.472       25.067     2654.473     5220.566
       0.658       23.092     2668.914     5227.289
       0.866       35.075     2680.879     5227.527
       1.075       42.433     2708.777     5254.879
       1.386       45.175     2757.406     5303.848
       1.735       34.625     2752.320     5291.422
       2.013       35.275     2772.953     5302.578
       2.217       45.992     2810.797     5324.180
       2.463       67.808     2849.398     5347.855
       2.756       45.042     2870.859     5351.879
       3.038       63.508     2891.461     5353.836
       3.583       85.800     2877.395     5340.441
       3.936       31.858     2868.617     5331.102
       4.124        9.625     2866.871     5329.625
       4.327       14.542     2871.809     5334.285
       4.514        8.358     2871.809     5334.285
       4.709       14.542     2909.094     6181.027
       4.899       16.133     2930.598     6190.137
       5.126       14.267     2948.266     6195.406
       5.350       13.742     2965.117     6199.602
       5.553        8.300     2967.492     6199.602
       5.758        7.700     2969.754     6199.602
       5.967       11.458     2980.902     6206.586
       6.212        9.625     2987.918     6210.406
       6.415       11.300     2992.488     6211.910
       6.635       10.750     3009.523     6224.891
       6.855       17.242     3047.781     6245.812
       7.074       39.517     3089.258     6273.594
       7.390       36.617     3098.688     6283.758
       7.680       33.942     3121.586     6292.273
       7.898       41.658     3198.332     6418.797
       8.160       35.933     3207.406     6428.000
       8.406       37.458     3206.145     6426.254
       8.626       40.408     3175.168     6402.586
       8.829       42.583     3217.379     6405.070
       9.098       38.017     3215.727     6403.145
       9.349       39.067     3221.750     6409.102
       9.596       38.825     3224.414     6411.922
       9.809       37.675     3222.754     6411.230
      10.042       40.433     3234.488     6392.656
      10.279       37.500     3244.965     6403.715
      10.514       33.408     3251.578     6410.285
      10.792       34.483     3251.062     6409.656
      11.010       34.900     3282.629     6414.996
      11.260       32.817     3304.988     6407.785
      11.498       37.242     3372.570     6739.656
      11.747       33.858     3366.598     6733.715
      11.977       33.283     3376.348     6743.488
      12.254       33.825     3380.840     6747.492
      12.544       33.833     3370.953     6737.559
      12.805       34.350     3378.898     6745.918
      13.059       33.833     3377.879     6745.355
      13.332       32.900     3374.828     6742.105
      13.613       36.475     3404.160     6741.168
      13.902       33.900     3396.602     6732.926
      14.149       31.767     3402.211     6738.914
      14.413       34.758     3406.086     6743.117
      14.677       34.200     3403.512     6739.367
      14.971       34.733     3420.461     6759.711
      15.250       33.367     3419.754     6757.289
      15.531       33.283     3419.375     6756.020
      15.799       33.383     3433.570     6758.641
      16.041       33.800     3464.848     6758.844
      16.274       33.450     3501.426     6760.000
      16.476       28.542     3505.922     6757.277
      16.706       13.467     3509.027     6757.277
      16.900       31.433     3560.832     6762.441
      17.105       33.892     3620.656     6766.781
      17.339       44.517     3697.812     7300.047
      17.557       33.892     3694.664     7298.000
      17.773       33.292     3697.988     7299.922
      18.008       34.375     3700.684     7301.777
      18.242       34.483     3701.551     7302.609
      18.471       36.433     3705.359     7303.066
      18.691       34.892     3695.535     7293.473
      18.944       32.800     3707.285     7305.422
      19.204       33.283     3706.883     7304.910
      19.474       33.408     3706.520     7304.922
      19.745       34.758     3788.414     7339.148
      19.991       33.892     3765.598     7315.867
      20.223       32.275     3794.844     7347.340
      20.453       31.508     3794.398     7346.383
      20.676       26.158     3792.898     7343.730
      20.877       23.092     3794.684     7344.984
      21.095       30.050     3796.562     7346.758
      21.325       30.917     3796.520     7347.488
      21.546       16.017     3793.285     7344.039
      21.738       20.558     3794.664     7345.043
      22.007       13.017     3794.695     7345.109
      22.258       24.483     3798.176     7346.094
      22.527       69.933     3941.793     7382.863
