# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.129        0.000     2522.773     4656.789
       0.309        4.875     2523.352     4657.234
       0.496       20.217     2531.336     4667.176
       0.717       33.350     2542.551     4678.891
       0.923       37.200     2545.223     4682.152
       1.135       35.075     2551.977     4685.422
       1.330       32.725     2552.789     4685.934
       1.532       31.508     2543.953     4676.266
       1.740       36.708     2547.391     4679.438
       1.934       15.583     2547.523     4679.527
       2.167       14.483     2547.824     4679.832
       2.429        7.133     2547.906     4679.895
       2.632        9.050     2547.934     4679.895
       2.819        4.542     2547.934     4679.895
       2.997        9.625     2547.934     4679.895
       3.199        6.925     2547.934     4679.895
       3.389       10.908     2546.461     4677.332
       3.577        0.000     2546.461     4677.332
       3.765        0.000     2546.461     4677.332
       3.938        0.000     2457.102     4527.551
