# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.118        0.000     1561.922     3525.922
       0.264       19.200     1648.270     3525.914
       0.425        8.325     1742.094     3738.770
       0.595        9.750     1838.148     3772.828
       0.785       12.825     1816.766     3670.988
       0.987        3.692     1375.438     2859.785
       1.129        8.350     1375.453     2859.785
       1.291       12.867     1395.676     2878.305
       1.459       20.442     1400.340     2890.461
       1.620        8.308     1400.293     2890.340
       1.775       17.517     1410.395     2899.414
       1.944       34.825     1438.117     2923.758
       2.115       33.308     1444.004     2926.430
       2.288       33.308     1445.875     2926.570
       2.456       35.583     1448.688     2929.059
       2.632       33.383     1437.914     2917.547
       2.800       34.067     1441.129     2920.582
       2.956       38.392     1444.621     2923.926
       3.115       33.308     1434.617     2914.648
       3.286       35.583     1422.934     2903.781
       3.457       34.225     1433.020     2913.523
       3.616       33.308     1434.434     2914.828
       3.790       34.825     1430.242     2910.684
       3.959       33.383     1457.430     2918.047
       4.115       33.175     1478.398     2919.398
       4.271       34.267     1500.070     2919.145
       4.444       34.825     1517.836     2920.008
       4.608       34.000     1530.039     2914.762
       4.775       33.500     1550.793     2921.551
       4.937       35.658     1578.262     2923.160
       5.107       32.550     1602.461     2926.016
       5.282       32.742     1621.297     2923.977
       5.435       33.175     1623.270     2913.613
       5.589       31.792     1645.629     2920.812
       5.779       26.650     1647.625     2908.215
       5.936       32.342     1666.168     2919.156
       6.097       30.050     1689.547     2918.352
       6.247       25.875     1712.793     2918.633
       6.405       30.883     1736.234     2912.066
       6.563       31.042     1766.113     2916.871
       6.734       29.025     1788.695     2917.750
       6.905       31.983     1812.844     2918.785
       7.059       34.167     1845.340     2926.371
       7.217       34.067     1874.566     2931.590
       7.389       28.008     1881.609     2915.656
       7.547       45.075     1958.570     3971.195
       7.704       26.708     1961.699     3974.184
       7.859       21.567     1948.367     3960.281
       8.017       21.700     1953.137     3964.770
       8.174       20.033     1956.125     3967.855
       8.329       13.358     1956.289     3968.062
       8.488       24.050     1957.297     3968.699
       8.644       25.042     1961.883     3973.480
       8.797       23.367     1958.996     3970.633
       8.969       14.192     1945.348     3957.137
       9.123       14.925     1948.777     3961.016
       9.267       16.692     1950.930     3962.875
       9.424       25.042     1960.078     3972.965
       9.575       31.717     1945.047     3956.852
       9.752       29.525     1958.582     3971.102
       9.918       33.383     1962.574     3974.523
      10.076       28.767     1945.496     3957.293
      10.231       16.625     1949.719     3961.746
      10.374       10.158     1950.094     3962.098
      10.515       15.025     1952.906     3964.938
      10.672       20.033     1957.012     3969.074
      10.828       19.200     1955.938     3967.930
      10.989       15.758     1956.770     3968.488
      11.144        2.792     1956.781     3968.488
      11.284        0.833     1956.738     3968.418
      11.427        0.000     1956.738     3968.418
      11.568        0.925     1956.738     3968.418
      11.728        0.000     1956.750     3968.418
      11.866        1.042     1956.750     3968.418
      12.009        3.342     1957.285     3968.953
      12.148        0.000     1957.285     3968.953
      12.291        0.000     1957.285     3968.953
      12.433        0.925     1924.109     3942.477
      12.576        2.500     1924.109     3942.477
      12.735        0.925     1924.109     3942.477
      12.888        0.000     1924.109     3942.477
      13.048        0.933     1924.109     3942.477
      13.209        1.517     1924.180     3942.586
      13.358        0.925     1924.910     3943.281
      13.518        0.758     1925.500     3943.867
      13.671        0.000     1925.500     3943.867
      13.811        0.833     1925.570     3943.938
      13.968        0.000     1925.621     3943.988
      14.127        0.925     1925.621     3943.988
      14.282        0.833     1925.629     3943.988
      14.422        1.858     1926.188     3944.508
      14.565        0.000     1926.199     3944.508
      14.716        0.000     1926.199     3944.508
      14.858        0.925     1926.199     3944.508
      15.000        0.000     1926.199     3944.508
      15.155        0.000     1926.199     3944.508
      15.296        1.858     1926.199     3944.508
      15.452        0.833     1926.199     3944.508
      15.608        2.500     1926.219     3944.508
      15.759        0.000     1926.223     3944.570
      15.916        3.342     1926.543     3944.879
      16.072        0.833     1926.543     3944.879
      16.228        0.000     1926.543     3944.879
      16.369        0.000     1926.547     3944.879
      16.508        0.933     1926.996     3945.332
      16.651        0.000     1927.008     3945.332
      16.807        0.833     1927.008     3945.332
      16.950        0.000     1927.008     3945.332
      17.104        0.000     1927.008     3945.332
      17.246        0.000     1927.008     3945.332
      17.398        0.000     1927.008     3945.855
      17.539        0.933     1927.008     3945.855
      17.697        0.000     1926.961     3945.762
      17.850        1.667     1926.961     3945.762
      18.007        0.833     1926.961     3945.762
      18.148        0.925     1926.988     3945.789
      18.294        0.000     1926.988     3945.789
      18.433        0.925     1926.988     3945.789
      18.574        0.833     1926.988     3945.789
      18.730        0.000     1927.008     3945.789
      18.886        0.833     1927.008     3945.789
      19.030        0.000     1927.008     3945.789
      19.184        1.667     1927.008     3945.789
      19.341        0.833     1927.016     3945.789
      19.483        0.925     1927.016     3945.789
      19.627        1.667     1927.016     3945.789
      19.784        1.667     1927.023     3945.789
      19.941        0.000     1927.023     3945.789
      20.095        0.933     1927.023     3945.789
      20.234        0.000     1927.023     3945.789
      20.378        0.925     1927.023     3945.789
      20.519        0.833     1927.023     3945.789
      20.675        0.000     1927.043     3945.789
      20.833        0.833     1927.043     3945.789
      20.976        0.000     1927.043     3945.789
      21.133        0.000     1927.043     3945.789
      21.273        1.850     1927.043     3945.789
      21.416        0.000     1927.043     3945.789
      21.559        0.000     1927.043     3945.789
      21.702        1.850     1927.055     3945.789
      21.842        1.858     1927.012     3945.805
      21.985        0.000     1927.012     3945.805
      22.129        0.933     1927.012     3945.805
      22.283        1.850     1927.012     3945.805
      22.426        1.667     1927.012     3945.805
      22.594       35.283     1970.586     3955.820
