# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.122       22.917      351.922      403.680
       0.242       21.392      405.355      512.863
       0.370       18.750      415.738      514.250
       0.496       14.583      426.918      520.590
       0.624       28.625      457.879      550.359
       0.766       36.275      484.172      574.512
       0.909        1.042      407.477     1019.273
       1.037       10.158      430.516     1031.242
       1.165       39.583      509.148     1073.648
       1.308       22.167      585.746     1089.824
       1.452       17.675      706.012     1298.684
       1.592        9.233      825.266     1334.215
       1.719       12.008      815.879     1242.875
       1.863        5.208      364.652      417.344
       1.987        8.333      364.652      417.344
       2.111       14.583      396.375     1226.902
       2.238       18.600      422.430     1271.156
       2.364       16.667      437.789     1276.492
       2.507       15.700      457.719     1281.023
       2.650       11.158      472.848     1291.332
       2.793        8.308      475.398     1291.582
       2.920       14.775      483.957     1295.070
       3.064       10.233      516.402     1323.102
       3.206       36.017      564.488     1343.965
       3.345       36.017      583.836     1360.957
       3.489       34.408      629.969     1382.336
       3.632       34.217      629.293     1334.199
       3.776       36.017      660.031     1471.305
       3.919       27.700      657.129     1468.594
       4.063       41.850      660.672     1471.395
       4.205       36.017      680.027     1472.473
       4.348       42.483      705.363     1476.809
       4.491       29.758      701.863     1473.508
       4.635       34.225      706.496     1477.680
       4.777       40.633      709.926     1481.125
       4.919       39.708      712.449     1483.148
       5.062       45.075      743.348     1484.551
       5.219       37.858      741.742     1483.797
       5.365       39.233      754.516     1495.848
       5.507       37.200      748.176     1490.223
       5.649       37.858      753.512     1494.582
       5.789       35.092      775.398     1517.906
       5.932       35.342      766.723     1503.637
       6.076       36.942      821.664     1515.449
       6.219       35.092      845.863     1510.789
       6.363       49.292      889.656     1836.723
       6.505       34.167      888.086     1835.098
       6.646       34.225      892.777     1840.316
       6.790       35.417      886.512     1835.695
       6.933       34.167      889.898     1837.668
       7.077       35.058      884.859     1832.508
       7.221       35.092      885.215     1832.555
       7.365       34.408      878.781     1827.129
       7.508       35.092      893.355     1841.285
       7.651       34.217      893.625     1841.180
       7.797       41.558      920.504     1840.406
       7.938       33.483      923.086     1842.035
       8.078       35.092      923.188     1841.621
       8.222       33.242      920.078     1838.129
       8.364       34.408      920.258     1838.258
       8.507       33.242      924.242     1841.938
       8.649       33.383      919.875     1837.867
       8.791       33.333      916.145     1834.598
       8.934       32.550      920.934     1838.969
       9.078       34.167      922.027     1841.230
       9.221       33.242      936.355     1842.945
       9.365       32.550      962.258     1837.621
       9.509       33.242      994.859     1840.727
       9.652       34.225     1013.676     1839.043
       9.796       34.167     1053.492     1846.703
       9.937       33.483     1078.902     1845.738
      10.081       34.167     1091.887     1835.848
      10.225       35.092     1123.219     1841.051
      10.369       45.075     1177.891     2354.230
      10.512       35.342     1163.324     2340.551
      10.655       34.167     1171.859     2347.762
      10.798       35.092     1186.281     2362.812
      10.942       33.483     1180.375     2357.844
      11.083       36.017     1173.723     2350.062
      11.225       33.242     1178.410     2354.219
      11.367       35.058     1170.750     2346.914
      11.509       21.875     1172.391     2347.980
      11.640        3.717     1172.309     2347.828
      11.779        2.083     1173.426     2348.836
      11.907        0.925     1173.438     2348.898
      12.035        2.083     1173.438     2348.898
      12.161        1.042     1173.438     2348.898
      12.302        1.850     1173.441     2348.898
      12.430        3.125     1106.184     2286.477
      12.556        3.125     1115.156     2295.477
      12.685        0.000     1115.160     2295.477
      12.813        0.933     1115.176     2295.477
      12.955        0.000     1115.195     2295.477
      13.098        0.000     1115.199     2295.477
      13.225        0.000     1115.199     2295.477
      13.351        0.000     1115.281     2295.539
      13.492        3.717     1131.320     2311.582
      13.636        0.000     1131.320     2311.582
      13.763        1.042     1131.348     2311.855
      13.891        0.000     1131.355     2311.855
      14.020        0.933     1131.355     2311.855
      14.146        1.042     1131.355     2311.855
      14.275        2.083     1132.164     2312.309
      14.415        0.000     1132.176     2312.309
      14.541        1.042     1132.176     2312.309
      14.669        0.000     1132.176     2312.309
      14.797        0.000     1132.176     2312.309
      14.925        0.000     1132.184     2312.371
      15.052        0.000     1132.184     2312.371
      15.179        1.042     1132.184     2312.371
      15.321        0.933     1132.188     2312.434
      15.448        3.125     1133.297     2313.344
      15.574        1.042     1133.297     2313.344
      15.703        1.042     1133.301     2313.344
      15.831        2.767     1133.309     2313.344
      15.957        0.000     1133.309     2313.344
      16.097        0.000     1133.312     2313.344
      16.224        0.000     1133.312     2313.344
      16.352        0.000     1133.312     2313.344
      16.479        1.042     1133.312     2313.344
      16.624        0.000     1133.312     2313.344
      16.750        2.083     1133.316     2313.344
      16.878        0.000     1133.328     2313.344
      17.005        0.000     1133.340     2313.344
      17.131        0.000     1133.340     2313.344
      17.273        0.933     1133.344     2313.344
      17.415        0.000     1133.352     2313.344
      17.556        2.767     1114.891     2290.605
      17.682        1.042     1114.891     2290.605
      17.811        0.000     1114.898     2290.668
      17.953        0.000     1114.898     2290.668
      18.079        0.000     1114.898     2290.668
      18.206        0.000     1114.898     2290.668
      18.334        0.000     1114.898     2290.668
      18.462        2.083     1114.898     2290.668
      18.587        2.083     1114.898     2290.668
      18.714        0.000     1114.898     2290.668
      18.856        0.925     1116.820     2288.773
      18.997        0.933     1116.820     2288.773
      19.138       50.558     1160.926     2292.250
