# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.109       12.008     1505.992     2945.621
       0.248        5.542     1508.508     2946.996
       0.391        8.375     1511.410     2949.762
       0.534       20.317     1517.996     2955.879
       0.676       21.700     1546.230     2974.176
       0.818       28.625     1585.230     3013.129
       0.960       26.042     1588.523     3074.516
       1.103       19.392     1598.777     3073.535
       1.247       16.625     1608.062     3083.051
       1.393       17.675     1620.445     3085.609
       1.534       15.025     1624.629     3089.629
       1.675       22.167     1628.742     3093.582
       1.818       23.083     1648.699     3120.398
       1.959       32.550     1655.750     3128.973
       2.116       28.200     1661.492     3135.441
       2.260       37.200     1703.848     3143.812
       2.401       35.092     1717.891     3143.754
       2.544       34.408     1727.527     3153.055
       2.687       35.092     1737.230     3162.805
       2.829       28.625     1732.957     3158.688
       2.972       26.708     1740.129     3165.969
       3.128       50.083     1757.547     3165.547
       3.269        7.292     1757.633     3165.547
       3.411       10.850     1758.297     3166.312
       3.555       14.775     1762.160     3169.805
       3.698       32.325     1755.758     3164.043
       3.842       34.408     1759.680     3168.043
       3.987       31.517     1757.910     3167.598
       4.143       40.067     1797.750     3168.238
       4.286       37.200     1803.004     3172.988
       4.428       38.783     1798.949     3170.293
       4.572       49.867     1777.684     3131.809
       4.714       38.133     1785.785     3139.895
       4.873       39.808     1792.031     3146.496
       5.016       45.075     1786.242     3138.008
       5.177       40.067     1804.266     3157.785
       5.336       38.392     1802.281     3155.297
       5.475       44.325     1819.094     3160.520
       5.619       39.708     1833.973     3155.211
       5.763       36.275     1836.895     3159.109
       5.904       39.708     1847.332     3168.145
       6.048       35.058     1841.172     3161.137
       6.205       35.058     1850.238     3171.227
       6.365       43.125     1850.922     3169.879
       6.521       37.558     1845.617     3163.238
       6.679       35.058     1848.875     3165.078
       6.822       35.892     1856.625     3171.078
       6.981       33.175     1853.855     3168.359
       7.138       34.225     1873.000     3188.051
       7.297       35.058     1866.723     3180.078
       7.440       35.092     1871.141     3181.160
       7.598       33.383     1873.324     3183.535
       7.755       34.225     1873.340     3183.840
       7.913       34.225     1874.113     3184.574
       8.056       36.017     1864.941     3175.145
       8.216       39.367     1871.645     3181.410
       8.375       35.892     1869.914     3179.582
       8.533       35.058     1872.836     3184.512
       8.677       34.167     1876.352     3187.938
       8.820       33.242     1870.105     3180.520
       8.964       35.058     1868.035     3177.383
       9.120       27.700     1870.203     3179.914
       9.260       12.092     1870.312     3179.914
       9.403       19.392     1870.395     3179.977
       9.546       21.392     1871.008     3184.645
       9.690       10.158     1817.406     3130.766
       9.833       10.017     1820.117     3133.480
       9.976        9.242     1822.422     3135.828
      10.119       13.850     1824.523     3137.945
      10.263        8.367     1825.266     3138.898
      10.406        6.467     1825.664     3139.230
      10.554       43.150     1837.898     3152.770
      10.720       48.408     1830.320     3145.773
      10.863       41.558     1852.633     3168.695
      11.005       38.133     1861.535     3177.688
      11.148       29.550     1869.441     3185.379
      11.292       42.783     1874.129     3190.668
      11.451       24.883     1858.301     3172.637
      11.604       33.308     1862.703     3250.238
      11.763       15.025     1852.930     3238.895
      11.921        0.000     1852.930     3238.895
      12.063        0.000     1852.930     3238.895
      12.208        0.000     1766.234     3091.375
