# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.112       25.000      575.301      652.824
       0.231       60.950      599.977      674.508
       0.374       49.292      605.207      677.539
       0.515       27.083      623.562      696.195
       0.643        0.000      567.652     1161.477
       0.769       12.933      594.461     1175.527
       0.897       45.833      668.887     1217.238
       1.025       18.750      739.254     1227.445
       1.166       23.250      852.902     1434.605
       1.294        8.333      961.152     1460.719
       1.420        9.375     1029.785     1502.867
       1.543        2.083      518.289      554.113
       1.671        8.333      518.289      554.113
       1.798       10.158      534.469      562.715
       1.922       16.667      569.336     1403.875
       2.065       16.617      586.070     1409.988
       2.208       13.025      604.895     1414.934
       2.335       14.583      622.383     1425.762
       2.462       13.542      625.195     1426.250
       2.590       10.417      627.609     1426.500
       2.718        9.233      648.887     1443.312
       2.843       16.667      679.680     1468.285
       2.985       50.792      726.871     1487.543
       3.128       35.342      743.980     1505.238
       3.270       34.167      793.426     1516.770
       3.397       41.667      855.273     1648.637
       3.525       37.200      856.504     1649.438
       3.669       40.633      854.992     1648.020
       3.812       38.783      805.883     1596.586
       3.954       42.783      849.254     1600.816
       4.098       38.783      850.777     1602.051
       4.238       31.400      857.141     1608.004
       4.381       35.892      853.289     1604.727
       4.524       39.058      858.402     1609.016
       4.668       42.483      856.203     1607.152
       4.811       39.708      860.637     1611.496
       4.951       44.642      893.055     1614.340
       5.091       40.633      893.539     1614.785
       5.235       40.633      899.289     1620.480
       5.378       36.275      894.059     1615.727
       5.522       35.892      900.047     1621.176
       5.665       33.242      902.906     1623.809
       5.807       33.242      923.531     1617.809
       5.951       34.408      968.480     1623.891
       6.094       35.092      986.609     1625.160
       6.238       40.633     1013.172     1942.457
       6.381       35.342     1015.766     1945.180
       6.525       35.058     1019.730     1948.555
       6.669       36.017     1027.668     1956.688
       6.812       35.092     1039.551     1968.570
       6.956       37.200     1036.711     1965.848
       7.098       34.167     1021.855     1951.672
       7.241       33.383     1016.082     1946.855
       7.383       33.242     1016.809     1946.145
       7.526       35.342     1022.824     1951.930
       7.668       39.808     1047.660     1946.973
       7.812       35.417     1049.227     1947.922
       7.951       34.408     1047.680     1946.316
       8.079       34.375     1047.820     1947.035
       8.221       33.242     1054.973     1954.078
       8.364       33.242     1063.105     1963.398
       8.508       33.483     1054.992     1953.691
       8.649       33.383     1056.219     1954.941
       8.791       33.242     1047.617     1946.285
       8.935       34.167     1053.027     1952.500
       9.078       32.550     1053.750     1953.703
       9.222       34.167     1077.617     1957.785
       9.365       33.242     1103.875     1959.312
       9.493       33.333     1127.020     1958.711
       9.636       35.058     1138.043     1948.141
       9.778       34.408     1170.852     1953.000
       9.920       32.325     1194.832     1951.840
      10.046       34.375     1216.859     1955.379
      10.188       32.325     1243.688     1961.039
      10.331       35.342     1257.664     1951.500
      10.474       47.100     1299.914     2460.711
      10.617       33.242     1290.828     2451.504
      10.744       33.333     1304.789     2465.793
      10.886       32.550     1300.914     2463.152
      11.028       33.483     1311.180     2473.105
      11.170       35.092     1310.301     2471.273
      11.311       33.242     1313.828     2475.328
      11.455       34.408     1321.082     2482.465
      11.599       35.092     1313.008     2473.754
      11.742       24.008     1305.930     2466.168
      11.884       12.092     1306.871     2467.852
      12.011        2.083     1306.812     2467.699
