# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.118        7.392     2059.586     3766.355
       0.265       16.692     2082.320     3770.566
       0.424        6.633     2084.812     3772.031
       0.582        6.850     2020.969     3637.906
       0.740       20.317     2028.691     3646.000
       0.896       25.742     2071.352     3678.648
       1.055       27.542     2090.809     3696.957
       1.209       17.525     2100.828     3755.211
       1.364       17.550     2110.449     3764.906
       1.508       14.192     2116.027     3770.363
       1.650       13.850     2128.141     3772.766
       1.794       23.083     2133.090     3777.523
       1.952       28.933     2157.695     3808.484
       2.111       24.050     2156.953     3807.770
       2.270       25.108     2162.590     3815.059
       2.413       33.175     2194.629     3826.668
       2.572       28.375     2194.930     3801.945
       2.731       31.717     2195.285     3801.883
       2.888       35.583     2213.363     3821.352
       3.046       36.942     2214.363     3823.105
       3.205       47.208     2218.754     3827.289
       3.365       16.625     2227.367     3826.117
       3.507       26.708     2247.816     3835.238
       3.650       39.708     2237.551     3824.648
       3.808       33.383     2243.688     3831.363
       3.964       39.367     2284.652     3830.277
       4.138       37.092     2289.113     3834.121
       4.297       36.017     2282.480     3827.879
       4.456       41.733     2292.809     3829.906
       4.615       34.825     2250.316     3791.434
       4.773       41.733     2254.844     3792.141
       4.933       40.125     2273.613     3810.520
       5.091       45.067     2277.863     3813.016
       5.248       35.892     2289.082     3823.914
       5.408       41.467     2300.016     3825.895
       5.565       39.233     2311.824     3815.008
       5.725       34.225     2319.672     3822.938
       5.884       37.558     2310.766     3811.332
       6.044       36.342     2326.035     3829.895
       6.200       39.233     2316.465     3816.902
       6.361       35.667     2321.500     3821.109
       6.519       36.725     2334.645     3835.332
       6.677       35.058     2333.043     3831.207
       6.838       35.892     2335.340     3832.508
       6.996       34.000     2330.164     3827.621
       7.156       34.225     2339.156     3834.438
       7.313       34.825     2331.301     3826.688
       7.473       35.892     2339.051     3833.574
       7.631       40.067     2330.496     3825.398
       7.791       36.492     2332.168     3826.664
       7.950       34.225     2339.945     3835.438
       8.109       38.617     2328.082     3822.684
       8.269       37.558     2336.988     3831.684
       8.428       35.058     2329.285     3827.160
       8.586       35.892     2339.516     3837.348
       8.744       32.550     2330.707     3827.066
       8.901       34.833     2339.621     3835.969
       9.061       24.183     2329.711     3826.293
       9.219       10.850     2330.816     3826.547
       9.363       14.100     2332.469     3828.184
       9.521       19.533     2335.570     3833.434
       9.665        9.125     2335.848     3833.645
       9.808       10.233     2297.719     3809.535
       9.949       10.158     2300.273     3811.730
      10.093       10.233     2301.168     3812.328
      10.236        6.467     2301.418     3812.570
      10.380       43.150     2311.371     3822.820
      10.555       42.567     2322.449     3832.617
      10.713       37.558     2325.625     3825.191
      10.871       34.833     2326.156     3825.379
      11.030       40.883     2340.621     3840.785
      11.190       34.225     2336.992     3836.613
      11.348       42.567     2345.262     3842.031
      11.502       14.775     2337.594     3904.016
      11.646        0.000     2337.594     3904.016
      11.801        0.000     2337.594     3904.016
      11.944        0.000     2337.594     3904.016
