# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.010        0.000      163.383      876.918
       0.139       28.125      187.430      891.438
       0.275       30.475      199.023      897.539
       0.402       22.917      205.727      899.129
       0.526       31.250      233.797      905.734
       0.658       29.167      238.102      907.809
       0.787       18.467      230.934      899.848
       0.918       31.250      235.211      902.785
       1.045       32.550      238.543      904.379
       1.185       35.417      240.637      906.297
       1.317       30.475      244.250      910.406
       1.445       38.542      248.777      916.234
       1.572       36.458      258.609      925.980
       1.703       36.458      271.344      938.691
       1.822       32.292      279.320      945.641
       1.938       33.450      272.523      937.293
       2.057       37.500      293.941      941.375
       2.178       38.542      309.605      909.898
       2.296       36.692      310.648      910.703
       2.417       33.333      310.910      911.355
       2.538       33.333      314.879      914.832
       2.660       34.642      305.707      907.047
       2.780       31.250      308.262      908.523
       2.903       33.333      313.609      914.277
       3.026       32.292      315.023      915.824
       3.153       28.125      317.961      918.762
       3.275       25.000      277.820      877.898
       3.403       16.667      284.102      885.629
       3.518       21.500      279.012      879.109
       3.630        9.375      279.062      879.172
       3.744        8.283      279.062      879.172
       3.859        9.558      279.105      879.195
       3.975        8.333      279.141      879.262
       4.096        8.333      279.141      879.262
       4.224        9.375      279.141      879.262
       4.351       11.458      280.137      880.246
       4.472        9.558      280.137      880.246
       4.591        8.333      280.137      880.246
       4.713        8.333      280.137      880.246
       4.825        8.283      280.137      880.246
       4.941        8.358      280.141      880.246
       5.054       10.417      280.254      880.336
       5.170       16.575      284.973      885.434
       5.292        9.375      285.043      885.500
       5.411       21.875      302.559      882.406
       5.532        9.558      302.625      882.434
       5.644        7.167      302.625      882.434
       5.758        8.333      302.625      882.434
       5.872        8.283      302.625      882.434
       5.988        8.358      302.625      882.434
       6.106        7.292      302.625      882.434
       6.227        8.333      302.625      882.434
       6.343        8.358      302.625      882.434
       6.465        8.333      302.625      882.434
       6.579        9.467      302.625      882.434
       6.695       13.542      303.207      882.957
       6.811        7.167      303.207      882.957
       6.926        8.333      303.215      882.957
       7.044        9.467      303.215      882.957
       7.157        8.358      303.215      882.957
       7.269        8.358      303.215      882.957
       7.383        8.333      303.215      882.957
       7.504        7.292      303.215      882.957
       7.623        7.100      303.215      882.957
       7.738        8.358      303.215      882.957
       7.854        8.333      303.215      882.957
       7.975        8.333      303.215      882.957
       8.091        8.358      303.242      882.984
       8.213        8.333      303.242      882.984
       8.327        9.467      262.945      850.906
       8.446        8.333      262.953      850.922
       8.567        8.333      262.953      850.922
